object	size
journalFiles:The Journal of Asthma 	1
journalFiles:Diabetic Medicine	68
journalBytes:Fungal Biology	95819
journalBytes:Human Mutation	3854769
journalFiles:Attention, Perception & Psychophysics	39
journalBytes:Journal of Reproductive and Infant Psychology	44037
journalFiles:Evolutionary Intelligence	5
journalFiles:Journal of Cardiovascular Translational Research	44
journalBytes:Molecular Ecology Notes	162830
journalFiles:Molecular therapy : the journal of the American Society of Gene Therapy	2
journalFiles:Depression Research and Treatment	132
journalFiles:Journal of Computer-Aided Molecular Design	55
journalFiles:Clinics	972
journalBytes:Biofactors (Oxford, England)	18272
journalFiles:Medical Education	2
journalBytes:Inorganic Chemistry Communications	59511
journalFiles:BMC Medical Physics	20
journalFiles:Colloid and Polymer Science	26
journalBytes:Molecular Medicine Reports	590094
journalBytes:Current Drug Metabolism	118222
journalFiles:Zoomorphology	7
journalFiles:Health Economics, Policy, and Law	1
journalBytes:Journal of Substance Use	78606
journalBytes:Breast Cancer Research and Treatment	11830897
journalBytes:Nutrition, Metabolism, and Cardiovascular Diseases	128958
journalFiles:Journal of Molecular Signaling	130
journalBytes:Frontiers in Genetics	28767698
journalFiles:Health Promotion International	8
journalBytes:Journal of Medicine and the Person	20559
journalBytes:Biomechanics and Modeling in Mechanobiology	239437
journalBytes:Diabetes Research and Clinical Practice	28452
journalBytes:Child Development	271025
journalBytes:Experimental Hematology & Oncology	1318027
journalFiles:Veterinary Research	494
journalFiles:AIDS Care	34
journalBytes:GMS Psycho-Social-Medicine	1488566
journalBytes:Journal of Esthetic and Restorative Dentistry	47234
journalFiles:Biotechnology Research International	67
journalFiles:European Heart Journal Cardiovascular Imaging	3
articleTypeFiles:books-received	129
journalBytes:Clinical and Experimental Gastroenterology	2333601
journalBytes:Environmental Science & Policy	97614
journalBytes:Lipids in Health and Disease	33072163
journalFiles:Journal of Cardiovascular Computed Tomography	1
journalBytes:Journal of Family and Economic Issues	172663
journalFiles:BMC Ear, Nose and Throat Disorders	12
journalBytes:Chemoecology	251223
journalFiles:Epilepsy Research and Treatment	58
journalBytes:Pharmaceutical Statistics	90560
journalFiles:Nous (Detroit, Mich.)	1
journalFiles:Scripta Materialia	4
journalBytes:Human Genetics	12234646
journalBytes:Cost Effectiveness and Resource Allocation	1366013
journalFiles:Artery Research	1
journalBytes:Pesticide Biochemistry and Physiology	160744
journalBytes:Motivation and Emotion	643422
journalFiles:Zoology (Jena, Germany)	1
journalFiles:Journal of Geriatric Cardiology : JGC	68
journalBytes:ISRN Obstetrics and Gynecology	4158977
journalFiles:Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America	195
journalBytes:Toxin Reviews	50253
journalBytes:BMC Geriatrics	21648534
journalFiles:Medical Devices (Auckland, N.Z.)	65
journalFiles:Health & Social Care in the Community	2
journalBytes:Medicinal Chemistry Research	298312
journalFiles:The Journal of Adolescent Health	20
journalBytes:Biology of the Cell	936944
pmidCount_1932	338
journalFiles:International Journal of Cell Biology	197
pmidCount_1931	254
journalBytes:American Journal of Physiology. Heart and Circulatory Physiology	44652
journalBytes:Minerva	666485
journalBytes:Internal and Emergency Medicine	387180
journalFiles:International journal of impotence research	2
journalBytes:Computational Biology and Chemistry	85510
journalBytes:Journal of Biophysics	1419019
journalFiles:Decision Support Systems	1
journalBytes:Applied Magnetic Resonance	1095806
journalBytes:Case Reports in Neurological Medicine	1088217
journalFiles:Advances in Pharmacological Sciences (Online)	6
journalFiles:Wiener Medizinische Wochenschrift (1946)	4
journalBytes:European Journal of Haematology	1223593
journalBytes:Diabetes	87895833
journalFiles:ClinicoEconomics and Outcomes Research: CEOR	80
journalFiles:Biotechnology Journal	25
journalBytes:Molecular Pharmaceutics	709183
journalFiles:Clinical Reviews in Allergy & Immunology	2
journalBytes:OncoTargets and therapy	6600925
journalBytes:Fibrogenesis and Tissue Repair	417854
journalBytes:Frontiers in Integrative Neuroscience	16982186
journalBytes:Multivariate Behavioral Research	219325
journalFiles:Drugs	5
journalBytes:Studies in History and Philosophy of Biological and Biomedical Sciences	122182
journalBytes:Mind, Brain and Education	81675
journalFiles:Journal of Esthetic and Restorative Dentistry	2
journalBytes:The European Journal of Neuroscience	6329066
journalBytes:BMC Infectious Diseases	92560196
journalFiles:Anatomia, Histologia, Embryologia	1
journalBytes:Biotechnology Advances	80448
journalFiles:American Journal of Physiology - Endocrinology and Metabolism	23
journalFiles:Journal of Nutrition and Metabolism	170
journalBytes:Brain Injury	65680
journalFiles:Chembiochem 	2
journalFiles:Journal of Child and Family Studies	34
journalFiles:Ajob Neuroscience	2
journalBytes:Toxicological Sciences	11179126
journalFiles:Neural Networks	3
journalBytes:Indian Journal of Pharmacology	13185732
journalFiles:Lupus	1
journalBytes:Neurochemistry International	93907
journalBytes:Nonlinear Analysis, Theory, Methods & Applications	37092
journalFiles:Journal of Microscopy	11
journalFiles:Immunity & Ageing	16
journalFiles:Functional Ecology	6
journalFiles:Febs Letters	49
journalFiles:Transplantation Proceedings	1
articleCount_1981	1666
articleCount_1980	1510
articleCount_1983	1999
journalFiles:European Journal of Endocrinology	64
articleCount_1985	1862
journalBytes:Journal of Dermatological Science	7761
articleCount_1987	1850
articleCount_1986	1849
articleCount_1989	2195
journalBytes:The FASEB Journal	3597080
journalFiles:Anatomy &#x0026; Cell Biology	20
journalBytes:Transcultural Psychiatry	139844
journalBytes:Accountability in Research	127959
journalFiles:Journal of Vascular Surgery	3
journalFiles:Scandinavian Journal of Medicine & Science in Sports	7
journalBytes:European Journal of Clinical Investigation	319574
journalBytes:Journal of Lipid Research	1841327
journalBytes:The Journal of Pathology	1747193
journalBytes:Food Additives & Contaminants. Part B, Surveillance	69344
journalFiles:Plant Molecular Biology	197
journalFiles:Small GTPases	23
journalFiles:Health Care Analysis	31
journalFiles:Respiratory Research	1595
journalFiles:Current Bladder Dysfunction Reports	5
journalFiles:Indian Journal of Urology : IJU : Journal of the Urological Society of India	785
journalBytes:The Journal of Headache and Pain	17986307
journalBytes:The Korean Journal of Physiology & Pharmacology : Official Journal of the Korean Physiological Society and the Korean Society of Pharmacology	3194214
journalBytes:Clinical Practice and Epidemiology in Mental Health : CP & EMH	7287041
journalFiles:Hepatitis Monthly	359
journalFiles:Aesthetic Plastic Surgery	49
journalFiles:Journal of Cancer	187
journalBytes:Annals of Clinical Microbiology and Antimicrobials	8328992
journalBytes:Nano Reviews	1770758
journalBytes:Archives of Gynecology and Obstetrics	1484809
journalBytes:Biometals	439447
journalFiles:Journal of Nutritional & Environmental Medicine / Bsnm, British Society for Nutritional Medicine ; Aaem, American Academy of Environmental Medicine ; Bsaem, British Society for Allergy and Environmental Medicine ; Acnem, the Australian ..	1
journalBytes:The International Journal on Drug Policy	55719
journalBytes:Plant Science (Shannon, Ireland)	37130
journalBytes:Clinical Medicine Insights. Pathology	221140
journalBytes:The Australian and New Zealand Journal of Psychiatry	112146
journalBytes:Journal of Neuro-Oncology	3906670
journalBytes:Cellular Immunology	27420
journalBytes:Cardiovascular Drugs and Therapy	1388958
journalBytes:Child Psychiatry and Human Development	765365
journalBytes:Protein and Peptide Letters	123180
journalFiles:Cytokine & Growth Factor Reviews	1
journalBytes:International Journal of Cosmetic Science	74211
journalBytes:Archives of Women's Mental Health	521965
journalBytes:International Urogynecology Journal and Pelvic Floor Dysfunction	798096
journalBytes:Molecular therapy. Nucleic acids	784198
journalBytes:Cancer Immunology, Immunotherapy 	1600857
journalFiles:Journal of Lipids	81
journalBytes:Plant Signaling & Behavior	576206
journalBytes:Human Genomics and Proteomics : HGP	839259
pmidCount_1988	1731
pmidCount_1989	2085
pmidCount_1986	1792
pmidCount_1987	1798
pmidCount_1984	1773
pmidCount_1985	1801
pmidCount_1982	1728
pmidCount_1983	1923
pmidCount_1980	1503
journalFiles:Current Medical Imaging Reviews	1
journalFiles:American Journal of Cardiovascular Drugs	3
journalBytes:Journal of Child Language	122503
journalBytes:Cancer Investigation	223686
journalFiles:Current Obesity Reports	5
journalBytes:Healthcare Informatics Research	2756652
journalBytes:Nonlinear Biomedical Physics	1974693
journalBytes:Malaria Journal	110178738
journalFiles:Nursing Research and Practice	143
journalFiles:Wiener Klinische Wochenschrift	2
journalFiles:Current Women's Health Reviews	2
journalFiles:Proteomics	44
journalBytes:Molecular Plant	12636516
journalFiles:Cochlear Implants International	2
journalFiles:PathoGenetics	24
journalFiles:Hepatitis Research and Treatment	49
journalFiles:Journal of Biomolecular Nmr	100
journalBytes:Bulletin of Mathematical Biology	1191722
journalBytes:The European Journal of Public Health	727903
journalFiles:Soft Matter	2
journalFiles:Indoor Air	3
journalBytes:Surgical Neurology International	11949901
journalFiles:Journal of Applied Physiology	13
journalBytes:Algorithms for Molecular Biology : AMB	16272229
journalBytes:BioData mining	122682
journalBytes:European Journal of Personality	79273
journalBytes:Biofouling	27838
journalBytes:Mobile Genetic Elements	2629600
journalBytes:Current Biology 	4280688
journalBytes:International Journal of Molecular Sciences	123719125
journalBytes:International Journal of Family Medicine	2028031
journalBytes:Journal of Helminthology	26088
journalFiles:BMC International Health and Human Rights	305
journalBytes:International Health	233284
journalFiles:Journal of Surgical Technique and Case Report	76
journalFiles:Oral Oncology	7
journalFiles:Nutritional Neuroscience	3
journalBytes:Plant Biology (Stuttgart, Germany)	48071
journalFiles:Israel Journal of Chemistry	1
journalBytes:Remote Sensing of Environment	45815
journalFiles:Cardiovascular Engineering (Dordrecht, Netherlands)	4
articleCountWithAbstract_1943	152
journalBytes:Differentiation; Research in Biological Diversity	213892
journalFiles:Journal of Medical Genetics	75
journalFiles:The Journal of Antibiotics	9
journalFiles:Journal of Preventive Medicine and Public Health	88
journalBytes:Computers & Operations Research	192861
journalFiles:Acta Oncologica (Stockholm, Sweden)	5
journalFiles:Neuro-Ophthalmology (Aeolus Press)	1
journalBytes:Neuropsychologia	4411621
journalFiles:Journal of Heredity	6
journalBytes:Journal of human genetics	537959
journalFiles:The Proceedings of the Nutrition Society	2
journalFiles:International journal of obesity (2005)	89
journalBytes:Molecular Brain	11278506
journalFiles:Indian Journal of Pediatrics	2
journalBytes:Population and Environment	458237
journalFiles:Archives of Environmental Contamination and Toxicology	22
journalBytes:Applied Biochemistry and Biotechnology	541053
journalFiles:Ayu	245
journalFiles:Biotechnology Progress	3
journalBytes:Mini Reviews in Medicinal Chemistry	147954
journalFiles:Journal of Emergencies, Trauma, and Shock	110
mimeTypeBytes:text/html	158489262
journalFiles:Journal of Nanoparticle Research	53
journalFiles:Population Health Metrics	295
journalFiles:BMC Ear, Nose, and Throat Disorders	101
journalFiles:Accident; Analysis and Prevention	1
journalBytes:The Journal of Manual & Manipulative Therapy	25103
journalBytes:Journal of Ovarian Research	19199737
journalFiles:Pathology International	2
journalBytes:The HUGO Journal	264321
journalFiles:Eye	12
journalBytes:Clinical & Developmental Immunology	26044
journalFiles:AIDS Research and Therapy	292
journalFiles:Advances in Preventive Medicine	53
journalFiles:The International Journal of Biochemistry & Cell Biology	23
journalBytes:Journal of Psychopathology and Behavioral Assessment	794675
journalFiles:Immunity	66
journalFiles:Cardiovascular Research	186
journalBytes:Clinical and Molecular Allergy	578549
journalBytes:European Journal of Clinical Microbiology & Infectious Diseases	2920587
journalBytes:Psychological Injury and Law	198084
journalFiles:Genetic Vaccines and Therapy	122
journalFiles:Pest Management Science	2
journalFiles:Molecular Genetics and Genomics 	52
journalBytes:Hormones and Behavior	100159
journalBytes:Pediatric Clinics of North America	52073
journalFiles:Behavioural Brain Research	12
journalBytes:The pharmacogenomics journal	38162
journalBytes:Nordic Journal of Psychiatry	110659
journalFiles:Psychology, Health & Medicine	1
journalFiles:Surface and Interface Analysis	5
journalFiles:The Plant Journal 	175
journalBytes:European Journal of Echocardiography	144817
journalBytes:Psychopharmacology	9719776
journalFiles:Journal of Drug Delivery	97
journalFiles:Drug Delivery	1
journalBytes:Public Understanding of Science (Bristol, England)	145539
journalBytes:Journal of Autism and Developmental Disorders	3949716
journalBytes:Journal of Structural and Functional Genomics	1769252
journalBytes:Experimental Cell Research	2017543
journalFiles:BMC Cell Biology	942
journalFiles:Environmental Microbiology Reports	16
journalFiles:Clinical Ophthalmology (Auckland, N.Z.)	1014
journalFiles:Current Colorectal Cancer Reports	8
